,lyrics,description,timestamp_start,timestamp_end,start,end,prompt
0,Is this the real life? Is this just fantasy?,"A shot of a person looking into a mirror, unsure of what is real and what is not.",0:01,0:08,1,8,"A shot of a person looking into a mirror, unsure of what is real and what is not, photoshoot, pyrography, constructivist, Ko Young Hoon"
1,"Caught in a landslide, no escape from reality","A person standing at the base of a mountain, looking up at a rock slide coming towards them.",0:08,0:16,8,16,"A person standing at the base of a mountain, looking up at a rock slide coming towards them, zbrush sculpt, Thomas Kinkade, photo, ink"
2,"Open your eyes, look up to the skies and see","A shot of a person lying on the grass, staring up at the clouds in the sky.",0:16,0:26,16,26,"A shot of a person lying on the grass, staring up at the clouds in the sky, street art, synthwave, visual novel, hard edge painting"
3,"I'm just a poor boy, I need no sympathy","A close-up of a person's face, looking sad and alone.",0:26,0:32,26,32,"A close-up of a person's face, looking sad and alone, color grading, 3D sculpt, 16-bit, canon50"
4,"Because I'm easy come, easy go, little high, little low","A shot of a person on a roller coaster, experiencing highs and lows.",0:32,0:40,32,40,"A shot of a person on a roller coaster, experiencing highs and lows, global illumination, intricate environment, Gustave Klimt, environment design"
5,"Any way the wind blows doesn't really matter to me, to me","A shot of a person standing on a beach, looking out at the waves crashing on the shore as the wind blows.",0:40,0:53,40,53,"A shot of a person standing on a beach, looking out at the waves crashing on the shore as the wind blows, naive, Makoto Shinkai, cartoon, Gustave Dore"
6,[Piano],A close shot of a piano,0:53,0:57,53,57,"A close shot of a piano, 3D sculpt, symbolist, colored pencil, Sandro Botticelli"
7,"Mama, just killed a man","A person holding a gun, standing over a lifeless body.",0:57,1:03,57,63,"A person holding a gun, standing over a lifeless body, mural, colorful, digital art, Andy Warhol"
8,"Put a gun against his head, pulled my trigger, now he's dead",A close-up of a person's hand holding a gun.,1:03,1:10,63,70,"A close-up of a person's hand holding a gun, ink, minimalist, water color, Akihito Yoshida"
9,"Mama, life had just begun","A shot of a newborn baby in a hospital room, with a happy mother holding it.",1:10,1:16,70,76,"A shot of a newborn baby in a hospital room, with a happy mother holding it, modern art, 3D sculpt, Salvador Dali, Chris Foss"
10,But now I've gone and thrown it all away,A shot of a person throwing a bunch of papers into a trash can.,1:16,1:23,76,83,"A shot of a person throwing a bunch of papers into a trash can, James Jean, constructivist, pastel art, modern art"
11,"Mama, ooh, didn't mean to make you cry","A close-up of a mother's face, crying over something her child did.",1:23,1:34,83,94,"A close-up of a mother's face, crying over something her child did, electric colors, Dan Mumford, corona render, Greg Rutkowski"
12,"If I'm not back again this time tomorrow, carry on, carry on as if nothing really matters","A shot of a person getting into a car and driving away, leaving everything behind.",1:34,1:46,94,106,"A shot of a person getting into a car and driving away, leaving everything behind, Mahmoud Said, Yoshitaka Amano, Chris Foss, neon"
13,[Piano],A group of musicians performing on stage,1:46,1:56,106,116,"A group of musicians performing on stage, pastel art, PBR, Claude Monet, geometric"
14,"Too late, my time has come","A shot of a person lying in a hospital bed, with doctors and family members surrounding them.",1:56,2:02,116,122,"A shot of a person lying in a hospital bed, with doctors and family members surrounding them, Rossdraws, Marc Simonetti, James Jean, Gustave Dore"
15,"Sends shivers down my spine, body's aching all the time","A close-up of a person's face, showing pain and discomfort.",2:02,2:10,122,130,"A close-up of a person's face, showing pain and discomfort, Mahmoud Said, photo, digital art, infrared"
16,"Goodbye, everybody, I've got to go, gotta leave you all behind and face the truth",A shot of a person getting on a plane and flying away.,2:10,2:23,130,143,"A shot of a person getting on a plane and flying away, Claude Monet, white balance, mural, wildlife photography"
17,"Mama, ooh (Any way the wind blows), I don't wanna die","A shot of a person looking out the window of an airplane, scared of what's to come.",2:23,2:33,143,153,"A shot of a person looking out the window of an airplane, scared of what's to come, Bob Eggleton, cartoon, minimalist, oil paint"
18,I sometimes wish I'd never been born at all,"A shot of a person standing on the edge of a tall building, contemplating suicide.",2:33,2:40,153,160,"A shot of a person standing on the edge of a tall building, contemplating suicide, close-up, M.C Escher, Ten Hundred, octane render"
19,[Guitar],A person playing the guitar,2:40,3:07,160,187,"A person playing the guitar, photo, impressionistic, Andy Warhol, expressionist"
