Section,Scene,Prompts
Opening montage,"The camera pans over a deserted cityscape, with tall skyscrapers casting long shadows over the empty streets below. The only sound is the distant hum of a malfunctioning drone hovering in the distance.","Desolate cityscape, post-apocalyptic, towering skyscrapers, somber atmosphere, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, gritty"
,,"Close-up of a swaying traffic light, rusted metal, eerie silence, dramatic lighting, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, moody"
,,"Shattered storefront window, broken glass, debris on the ground, desolate setting, cinematic, high contrast, vandalism-inspired, 4k resolution, digital art, textured"
,,"Rusted bicycle, abandoned, stillness in the air, muted colors, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, desaturated"
,,"Graffiti-covered wall, faded paint, stark contrast, desolate atmosphere, cinematic, high contrast, street art-inspired, 4k resolution, digital art, raw"
,,"Torn billboard, flapping in the wind, post-apocalyptic, dramatic setting, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, gritty"
,,"Abandoned buildings, boarded up windows, post-apocalyptic, somber atmosphere, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, desolate"
,,"Car driving under a bridge, crumbling pillars, dystopian setting, moody lighting, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, gritty"
,"A driverless car moves slowly through an abandoned street, its headlights piercing through the thick fog that envelops the scene. As it passes a screen displaying an ominous message, the camera zooms in to reveal the distorted image on the screen.","Car turning a corner and disappearing, post-apocalyptic, eerie stillness, dramatic lighting, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, haunting"
,"A driverless car moves slowly through an abandoned street, its headlights piercing through the thick fog that envelops the scene. As it passes a screen displaying an ominous message, the camera zooms in to reveal the distorted image on the screen.","Abandoned cityscape, post-apocalyptic, eerie fog, cinematic, stark contrast, futuristic, high definition, digital art, atmospheric"
,,"Driving through the fog, dystopian skyline, dimly lit streets, cyberpunk-inspired, high contrast, neon-lit signs, retro-futuristic, stylized"
,,"Graffiti-covered walls, faded colors, abandoned city, urban decay, post-industrial, moody, cinematic, stylized, high definition, dystopian"
,,"Abandoned factory, industrial wasteland, deserted machinery, bleak, post-apocalyptic, cinematic, dystopian, atmospheric, high contrast"
,,"Robotic arm, abandoned control panel, industrial decay, sci-fi inspired, cyberpunk, cinematic, dystopian, high definition, digital art"
,,"Deserted factory floor, deactivated machinery, post-industrial, dystopian, cinematic, high contrast, atmospheric, stylized"
,,"Abandoned industrial complex, empty and desolate, post-apocalyptic, cinematic, dystopian, high definition, atmospheric, digital art"
,"A close-up shot of a robotic arm repeatedly pressing a button on an abandoned control panel. The camera then pans out to show a large, empty factory floor with rows of deactivated machines.","Overgrown wasteland, desolate ruins, post-apocalyptic, dystopian, cinematic, high contrast, atmospheric, stylized, digital art"
,"A close-up shot of a robotic arm repeatedly pressing a button on an abandoned control panel. The camera then pans out to show a large, empty factory floor with rows of deactivated machines.","Darkened city street, urban decay, ominous, haunting, noir-inspired, cinematic, high contrast, cyberpunk-inspired, 4k resolution, digital art, stylized"
,,"Lone figure, mysterious, enigmatic, solitary, cinematic, atmospheric, low light, cyberpunk-inspired, 4k resolution, digital art, stylized"
,"The camera cuts to a darkened city street where a lone figure in a hooded coat walks past flickering streetlights. As they pass a ruined billboard, the camera zooms in on the faded image of a smiling family, a stark contrast to the bleakness of the scene.","Ruined billboard, decayed, abandoned, dystopian, cinematic, atmospheric, high contrast, cyberpunk-inspired, 4k resolution, digital art, stylized"
,"The camera cuts to a darkened city street where a lone figure in a hooded coat walks past flickering streetlights. As they pass a ruined billboard, the camera zooms in on the faded image of a smiling family, a stark contrast to the bleakness of the scene.","Dark and gritty cityscape, ominous atmosphere, hooded figure walking in the night, low-key lighting, film noir-inspired, 1080p resolution, moody"
,,"Urban decay, abandoned billboards, flickering lights, grainy texture, dystopian, 4k resolution, desolate"
,,"A poignant reminder of better times, faded memories, nostalgic, poignant, sepia-toned, sentimental, vintage, evocative"
,,"Spectacular skyline, bright lights, bustling city, vibrant energy, panoramic view, modern, high contrast, neon-lit"
,,"Mysterious and intriguing, inside looking out, voyeuristic, enigmatic, cinematic, 4k resolution, atmospheric, intriguing"
,,"Distorted reality, glitch art, digital noise, cyberpunk-inspired, fragmented, surreal, glitchy, disorienting"
,"The camera shows a series of screens displaying distorted images and garbled messages. As the camera zooms in on one of the screens, the image resolves into a distorted face that seems to stare directly into the camera.","Unnerving stare, ominous presence, distorted visage, creepy, unsettling, enigmatic, cyberpunk-inspired, high contrast"
Virtual reality vignette,"The camera shows the person sitting alone in a darkened room, wearing a virtual reality headset. They appear to be calm and content.","Darkened room, virtual reality headset, calm and content, introspective, meditative, isolated, soothing blue light, digital art-inspired, 1080p resolution, serene"
,,"Peaceful meadow, idyllic setting, new beginnings, nature-inspired, warm and inviting, ethereal, magical, pastel colors, watercolor-inspired, 4k resolution, dreamy"
,,"Golden sunlight, colorful wildflowers, vibrant nature, picturesque, serene and tranquil, sunny, bright and cheerful, Impressionism-inspired, high contrast, 1080p resolution, painterly"
,,"Gentle breeze, rustling leaves, relaxing and calming, nature sounds, Zen, tranquil and soothing, earthy tones, nature-inspired, 4k resolution, serene"
,,"Shimmering lake, distance and depth, peacefulness, quiet reflection, contemplative, tranquil, mirror-like surface, dreamlike, minimalist, 1080p resolution, serene"
,,"Gentle water ripples, reflective surface, calm and serene, peaceful and still, clear blue sky, soothing, Zen-like, watercolor-inspired, 4k resolution, dreamy"
